sen1_origin_id,sentence1,sen1_paraphrase0,sen1_task,sen2_origin_id,sentence2,sen2_paraphrase0,sen2_task,sen3_origin_id,sentence3,sen3_paraphrase0,sen3_task,sen4_origin_id,sentence4,sen4_paraphrase0,sen4_task
RTE2_dev.column_s1_208,"More than 2,000 people lost their lives in the devastating Johnstown Flood .","Johnstown Flood destroyed more than 2,000 lives.",IR,RTE2_dev.column_s1_562,"Salvadoran reporter Mauricio Pineda , a sound technician for the local Canal Doce television station , was shot to death today in Morazan Department in the eastern part of the country .","Mauricio Pineda, a Salvadoran reporter for the local Canal Doce TV station, was killed in Morazan Department in the eastern part of the country today.",IE,RTE2_dev.column_s1_209,"It 's Biodiesel , and Bio-Beetle is the first all-BD rental car company .","Biodiesel, Bio-Beetle is the first all-BD rental car company.",QA,RTE3_dev.column_s1_654,"Political change in eastern Europe and the removal of trade barriers in the Far East have given the four multinationals-Philip Morris , BAT Industries , R J Reynolds and Rothmans International-access to big potential new markets .","Political change in eastern Europe and the removal of trade barriers in the Far East have given the four multinationals - Philip Morris, BAT Industries, R J Reynolds and Rothman International - access to new potential new markets.",SUM
RTE3_dev.column_s1_113,"Unfortunately , a visit from Mrs Hobday , causes Mr Browne to leave for London .","Unfortunately, a visit from Mrs Hobday is driving Mr Browne for London.",IE,RTE3_dev.column_s1_180,"A senior Russian politician has hailed a decision by Uzbekistan to shut down a United States military base there , although Moscow officially denies that it is applying pressure on Central Asian states to expel American forces .","A senior Russian politician has welcomed the decision by Uzbekistan to shut down a U.S. military base there, although Moscow officially denies that it is acting in pressure on Central Asian states to expulse American forces.",IE,RTE2_dev.column_s1_651,"Three plays later , quarterback James Pinkney was sacked by Wake 's Goryal Scales on third-and-one , forcing the team to punt .","Three plays later, quarterback James Pinkney was sacked on third and one by Wake's Goryal Scales, forcing the team to punt.",IE,RTE1_dev.column_s1_474,"Representatives from 142 nations are expected to sit down in Doha Qatar , next Friday for the World Trade Organization 's ( WTO ) fourth Ministerial Conference .",Representatives from 142 countries are expected to come to Doha Qatar for the Fourth Ministerial Conference of the World Trade Organization ( WTO ) next Friday.,PP
RTE3_dev.column_s1_290,"Last week , saw the fall of the Dutch right wing coalition government , made up of the Christian-democrats ( CDA ) led by Prime Minister Jan Peter Balkenende , the right wing liberal party ( VVD ) and the so-called left-liberal D 66 .","Last week saw the fall of the Dutch right-wing coalition government ( CDA ), made up of the Christian democrats ( CDA ) under Prime Minister Jan Peter Balkenende, the right wing liberal party ( VVD ) and the so-called left-wing D66.",IR,RTE3_dev.column_s1_610,"The researchers in the latest study fed one group of mice a diet in which 60 percent of calories came from fat . The diet started when the mice , all males , were 1 year old , which is middle-age in mouse longevity . As expected , the mice soon developed signs of impending diabetes , with grossly enlarged livers , and started to die much sooner than mice fed a standard diet .","The researchers fed one group of mice a diet in which 60 percent of calories come from fat, which is middle age in mouse longevity, as expected, the mice soon developed signs of imminent diabetes, with grossly enlarged livers and started to die much sooner than mice fed a standard diet.",SUM,RTE2_dev.column_s1_486,"British actor , Hugh Laurie , had been favourite to win best drama actor for `` House '' , but lost out to `` Boston Legal '' ' s James Spader .","The British actor Hugh Laurie, who had been favourite to win the best drama actor for  House '', had been swept up by  Boston Legal '' James Spader but lost.",SUM,RTE2_dev.column_s1_433,"Warrington-born Chris Evans denies he went wild , despite quitting Radio 1 in 1997 and later being sacked by Virgin Radio for not turning up for work during a five-day drinking binge .","Chris Evans, born in Warrington, denies he went wild, despite quitting Radio 1 in 1997 and later being dismissed by Virgin Radio for not showing up for work on a five-day drinking - binge.",IE
RTE2_dev.column_s1_546,"The experiment helped establish that the bacteria came first , causing inflammation , then ulcers .","The experiment helped establish that the bacteria, initially inflammation, caused ulcers, came first.",IE,RTE3_dev.column_s1_572,"Out of the seven expeditions who were permitted to climb the 8586-meter high Mt . Kanchenjunga , only one climber from the United States succeeded .","Only one of the seven expeditions permitted to climb the 8586-meter high Mt. Kanchenjunga succeeds, from the seven expeditions permitted to climb from the United States.",QA,RTE2_dev.column_s1_556,"Mexico City ( Mexico ) , 12 Jan 90 ( DPA ) - Salvadoran Social Democratic politician Hector Oqueli Colindres was kidnapped today in Guatemala city , along with Guatemalan Social Democratic leader Gilda Flores , his party , in Mexico City , reported .","Salvadoran Social Democratic politician Hector Oqueli Colindres was kidnapped today in Guatemala City, alongside Guatemalan Social Democratic leader Gilda Flores, his party, reported DPA.",IE,RTE2_dev.column_s1_449,"Thompson , a renegade journalist whose ' gonzo ' style threw out any pretense at objectivity and established the hard-living writer as a counter-culture icon , fatally shot himself at his Colorado home on Sunday night , police said .","Thompson, a renegade journalist whose style's gonzo'threw out any pretense of objectivity and established the hard-working writer as a counter-culture icon, shot himself on Sunday night at his Colorado home, police said.",SUM
RTE2_dev.column_s1_479,"Creeping trade protectionism , and bloated budget deficits , pose a risk to the United States ' long-term economic vitality , Federal Reserve Chairman , Alan Greenspan , warned Friday .",Federal Reserve chairman Alan Greenspan warned of a dangerous trade - protectionist and bloated budget deficits to the United States'long-term economic vitality.,SUM,RTE2_dev.column_s1_438,"Moscow ( USSR ) , 12 Jul 89 ( PRAVDA ) - Blood is flowing in Columbia , where last year , according to official statistics , there were 4,600 victims of political violence , including Jaime Pardo Leal ( president of Colombia 's national coordination committee ) , around 30 deputies and many municipal advisors and mayors .","Blood flowed in Columbia where in 2014, according to official statistics, there were 4,600 victims of political violence, including Jaime Pardo Leal ( President of Colombia's National Coordinating Committee ), around 30 deputies and many municipalities advisors and mayors.",IE,RTE1_dev.column_s1_241,"Nevertheless , Salesforce.com 's stock-which began trading on the New York Stock Exchange under the symbol `` CRM '' - got a Wall Street reception in line with that of other recent successful tech IPOs .",Salesforce.com's stock -- which began trading on the New York Stock Exchange under the symbol  CRM '' - also had a Wall Street reception in line with that of other recent successful tech IPOs.,RC,RTE3_dev.column_s1_681,Fishermen using the poison sodium cyanide have helped to destroy an estimated 70 % of the reefs .,Fishermen using the poison sodium cyanide have helped destroy about 70 % of the reefs.,SUM
RTE2_dev.column_s1_663,FMLN militias sabotaged power lines along the road linking Nueva Concepcion to the northern trunk highway at 1800 on 12 August .,FMLN militias attacked power lines along the road connecting Nueva Concepcion with northern trunk route at 1800 on 12 August.,IE,RTE2_dev.column_s1_583,"If the ruling is that these trade-secrets were stolen goods , I 'd be willing to bet that these three guys could refuse to answer any questions , by invoking the 5 th Amendment , since they would incriminate themselves by saying anything .","If the ruling is that these trade secrets were stolen goods, I would be willing to bet that these three guys could refuse to answer questions by invoking the Fifth Amendment, since they would incriminate themselves by stating anything.",IR,RTE1_dev.column_s1_775,"A statement said to be from al Qaida , claimed the terror group had killed one American and kidnapped another in Riyadh .",A statement that said al Qaida were speaking claimed that the terrorist group had killed one American and kidnapped another in Riyadh.,CD,RTE2_dev.column_s1_50,A charity today joined forces with Glasgow 's new Lord Provost to launch a campaign to help the Russian city 's twin . A convoy of aid is being sent to Rostov-on-Don next month by The Caring City Organisation .,A charity today joined forces with Glasgow's new Lord Provost to launch a campaign to help the twin Russian city : A convoy of aid is delivered by the Caring City Organisation next month to Rostov on Don.,QA
RTE2_dev.column_s1_24,"At the Amman Summit of Arab Women in Jordan last month , Secretary General of the Arab League Amr Moussa said womens ' advancement in the Arab world will be hobbled as long as they are so poorly represented in parliaments .","At the Amman Conference of Arab Women in Jordan last month, the secretary-general of the Arab League Amr Moussa said that women's advancement in the Arab world will be hindered if they are so poorly represented in parliaments.",IR,RTE2_dev.column_s1_158,He said that his daughter was told that Clark had been cited to General Sessions Court .,He said that his daughter was told that Clark was cited at General Sessions Court.,IE,RTE2_dev.column_s1_205,"Geithner criticized the report 's findings on the World Bank , including a commission recommendation that the Bank stop lending to emerging market economies , concentrate its resources on the poorest countries and shift the IFI 's concessional assistance from loans to grants .","Geithner criticised the conclusions of the report on the World Bank, including a recommendation of a commission that the Bank cease lending to emerging market economies, concentrate its resources on the poorest countries and redirect the concessional assistance of the IFI from loans to grants.",IR,RTE1_dev.column_s1_793,Heemeyer equipped an old bulldozer with three television cameras and monitors so he could see to steer .,Heemeyer equipped an old bulldozer with three television cameras and monitors to steer the bulldozer.,CD
RTE2_dev.column_s1_166,"Although Schneider 's father , Marvin , died of complications from diabetes only two weeks after `` Deuce Bigalow '' was released , his Filipino mother Pilar continues to live in Pacifica .","Although Schneider's father, Marvin, died of complications from diabetes just two weeks after the release of  Deuce Bigalow '', his Filipino mother Pilar continues to live in Pacifica.",IE,RTE3_dev.column_s1_677,"Known as `` heap leach '' mining , the method has become popular in the last decade because it enables microscopic bits of gold to be economically extracted from low-grade ore .",The technique known as  heap leach '' mining has become popular over the past decade because it enables microscopic pieces of gold to be economically extracted from low-grade ore.,SUM,RTE2_dev.column_s1_508,"Lao government spokesman , Yong Chantalangsy , said Rangoon has promised to announce its decision in Vientiane .","Yong Chantalangsy, a government spokesman in Laos, said Rangoon had promised to announce its decision in Vientiane.",IE,RTE3_dev.column_s1_115,"A light blue 1975 Ford Escort GL once owned by Pope John Paul II sold for $ 690,000 Saturday to a Houston multimillionaire who said he plans to put it in a museum he wants to build in his hometown .","A light-blue 1975 Ford Escort GL sold for $ 690,000 on Saturday to a Houston multimillionaire who said he plans to put it in a museum he wants to build in his hometown.",IE
RTE2_dev.column_s1_157,"Valero Energy Corp. , on Monday , said it found `` extensive '' additional damage at its 250,000-barrel-per-day Port Arthur refinery .","Valero Energy Corp. said on Monday it discovered  extensive '' additional damage at its 250,000 - barrel-per-day Port Arthur refinery.",IE,RTE2_dev.column_s1_535,"Toshiba , the world 's third-largest notebook computer maker behind Dell Inc. and Hewlett-Packard Co. , said the PC would be introduced in Japan in early 2006 .","Toshiba, the world's third largest notebook computer maker behind Dell Inc. and Hewlett Packard Co., said the PC would be introduced in Japan in early 2006.",IE,RTE2_dev.column_s1_186,"An Afghan interpreter , employed by the United States , was also wounded .",Another Afghan interpreter employed by the United States was wounded.,IE,RTE2_dev.column_s1_142,"Although they were born on different planets , Oscar-winning actor Nicolas Cage 's new son and Superman have something in common - both were named Kal-el .","Although they were born on different planets, the Oscar - winning actor Nicolas Cage's new son and Superman have something in common, both have been named Kal-el.",IE
RTE2_dev.column_s1_152,"But when the WTO headquarters issue came up , and Germany made an offer and a pitch to get the WTO to be headquartered in Bonn , the Swiss suddenly realised they were vulnerable and began improving their offers .","When the WTO HQ issue came up and Germany made an offer and pitch to get the WTO to be based in Bonn, the Swiss suddenly realized that they were vulnerable, and began improving their offers.",QA,RTE3_dev.column_s1_182,"Vance used to be Hooper 's supervisor , he said , but was let go several months ago .","Vance used to be Hooper's supervisor, he said, but was let go a few months ago.",IE,RTE2_dev.column_s1_525,"Moscow ( USSR ) , 12 Jul 89 ( PRAVDA ) - Blood is flowing in Columbia , where last year , according to official statistics , there were 4,600 victims of political violence , including Jaime Pardo Leal ( president of Colombia 's national coordination committee ) , around 30 deputies and many municipal advisors and mayors .","Blood is flowing in Columbia. According to official statistics, 4600 victims of political violence in Colombia last year, including Jaime Pardo Leal ( President of Colombia's National coordination committee ), around 30 deputies and many municipal advisors and mayors.",IE,RTE2_dev.column_s1_213,"Alan Mulally , Boeing 's head of the unit , said at the start of the strike that it may cause delivery delays that would give Airbus SAS an advantage in what is the strongest commercial aircraft market in five years .","Alan Mulally, the head of Boeing's unit, said at the start of the strike that it may cause delivery delays that Airbus SAS a disadvantage in what is the strongest commercial aircraft market in five years.",IE
RTE2_dev.column_s1_502,"Iran will hold the first runoff presidential election in its history , between President Akbar Hashemi Rafsanjani and Tehran 's hard-line mayor , election officials said Saturday .","Iranian officials announced Saturday that Iran will host the first presidential runoff in its history, between President Akbar Hashemi Rafsanjani and the hardline mayor of Tehran.",SUM,RTE3_dev.column_s1_629,"Bangladesh , one of the world 's poorest countries , suffered a devastating drought and famine in 1974 , which killed 1.5 million people . While trying to help starving villagers , he met a 21-year-old woman named Sufia Begum , who was burdened by a tiny yet crushing debt , Yunus recalled in his autobiography , `` Banker to the Poor . ''","In 1974, Bangladesh, one of the world's poorest countries, suffered a devastating drought and famine, which killed 1.5 million people. While trying to help the starving villagers, Yunus met a 21-year-old woman named Sufia Begum. During his autobiography,  Banker to the Poor, '' he recalls.",SUM,RTE2_dev.column_s1_290,"Kaspars Ruklis , press official at the United States Embassy , told the Baltic News Service that Mrs. Bush chose to visit Latvia 's Occupation .","Kaspars Ruklis, a press officer at the U.S. Embassy, told Baltic News Service that Mrs. Bush chose to visit the occupation of Latvia.",IE,RTE2_dev.column_s1_427,"The galaxy , measuring just 2,000 light-years across , is a fraction of the size of our own Milky Way , which stretches 100,000 light-years in diameter .","The galaxy measuring just 2,000 light years across is a fraction of the size of our own Milky Way, which has a diameter of 100,000 light years.",IE
RTE3_dev.column_s1_630,"To break the grinding cycle of debt and poverty , Yunus loaned $ 27 to Begum and more than 40 of her neighbours in the village of Joba . He allowed them to pay him back over the next year as their businesses started to produce stable profits .","To break the grinding cycle of debt and poverty, Yunus loaned $ 27 to Begum and more than 40 of her neighbours in the village Joba to pay him back the following year when their businesses began to produce stable profits.",SUM,RTE2_dev.column_s1_310,"The drive towards this new law was driven in part from a string of transport-related disasters in the late 1980 s , such as the sinking of cross-Channel ferry the Herald of Free Enterprise in 1987 , the oil platform Piper Alpha disaster in 1988 , and the Marchioness Thames river boat collision in 1989 . More than 400 people lost their lives in these three disasters , but no one individual or organisation was brought to account .","The drive towards this new law was in part driven by a string of transport-related accidents in the late 1980s, such as the sinking of the Cross Channel Ferry the Herald of Free Enterprise in 1987, the oil-based accident Piper Alpha in 1988, and the Marchioness Thames river boat collision in 1989. More than 400 people lost their lives in these three disasters, but no individual or organisation was called to account.",IR,RTE2_dev.column_s1_746,"Sunday 's explosion outside the Al-Rashi police station in the Al-Mashtel neighbourhood in the southeast of Baghdad , left a huge crater in the street .", Sunday's explosion outside Al-Rashi police station in the Al-Mashtel district southeast of Baghdad left a large crater in the street.  ,IE,RTE2_dev.column_s1_110,"Drew Walker , NHS Tayside 's public health director , said : `` It is important to stress that this is not a confirmed case of rabies . ''",It is important to stress that this is not a confirmed case of rabidity.,IR
RTE2_dev.column_s1_640,"Banning ivory is the surest road to extinction for the African elephant , argue leaders in those countries .","The ban on ivory is the surest road to the extinction of the African elephant, argue leaders in these countries.",IR,RTE2_dev.column_s1_656,"After two years , the aspirin subjects experienced a reduced risk of fatal and nonfatal stroke .","After two years, the subjects received a reduced risk of death and nonfatal stroke.",IR,RTE2_dev.column_s1_351,Meteorological observations suggest Claudette remained a tropical storm as she affected parts of west Texas .,Meteorological observations suggest that Claudette remained a tropical storm when it affected parts of west Texas.,IR,RTE2_dev.column_s1_210,"As a result , peptic ulcer disease has been transformed from a chronic , frequently disabling condition to one that can be cured by a short regimen of antibiotics and other medicines .","In the result, peptic ulcer disease has changed from a chronic, often debilitating condition to one that can be cured by a short regimen of antibiotics and other medicines.",IE
RTE2_dev.column_s1_125,"Released in 1995 , Tyson returned to boxing , winning the World Boxing Council title in 1996 . The same year , however , he lost to Evander Holyfield , and in a 1997 rematch bit Holyfield 's ear , for which he was temporarily banned from boxing .","Tyson returned to boxing, won the World Boxing Council title in 1996, but lost to Evander Holyfield in 1997. He was temporarily banned from boxing for this in 1997.",QA,RTE2_dev.column_s1_47,"Women form half the population and 54 % of the voters in the country , yet are very poorly represented in parliament .","Women form half of the population and 54 % of the voter base in the country, but are very poorly represented in parliament.",IR,RTE2_dev.column_s1_322,"Some plants grow really well in a hydroponic environment , but others do not .","Some plants grow really well in a hydroponic environment, but others don 't.",IR,RTE2_dev.column_s1_496,"Like the corporate logos , the ear is a representation , in mouth-watering chocolate , a delicious reminder of the infamous boxing incident in 1997 , when an enraged Mike Tyson bit Holyfield 's ear .","Like the corporate logos, the ear in mouth-watering chocolate is a representation, a tasty reminder of the 1997 boxing incident where an angry Mike Tyson bit Holyfield's ear.",QA
RTE2_dev.column_s1_530,"Pollner , they say , began trading with Iraq before the 1991 Persian Gulf War and continued after a U.N. embargo . For his part , Chalmers had loaned money to Iraq since the 1980 s and received repayment in oil , according to industry experts .","They say Pollner began trading with Iraq before the Persian Gulf War in 1991 and continued after a U.N. embargo for his part, having borrowed money to Iraq since the 1980s, according to industry experts.",QA,RTE1_dev.column_s1_2188,"A second man , aged 24 , technically freed yesterday was bailed after being questioned over alleged forged identity documents , but has been further detained on immigration matters , a spokesman for Scotland Yard said .","A second man, aged 24, was technically freed yesterday, after being questioned over alleged forged identity documents but further, Scotland Yard spokeswoman said.",RC,RTE1_dev.column_s1_2180,"Speaking outside the hospital moments after getting her child back , Ciancio said she was confident all along that the baby would be found .",Ciancio spoke outside the hospital moments after getting her child back and said she was convinced that the baby would be found.,RC,RTE2_dev.column_s1_264,"Despite Chinese assertions of control , tensions over the South China Sea 's waters have continued to rise .","Despite Chinese claims of control, tensions have continued to increase over the waters of the South China Sea.",IR
RTE2_dev.column_s1_453,Durham is the ' City of Medicine ' and home of Duke University and North Carolina Central .,Durham is the'City of Medicine'and home of Duke University and North Carolina Central.,QA,RTE2_dev.column_s1_46,"Bogota , 4 May 88 - The dissemination of a document questioning Colombia 's oil policy , is reportedly the aim of the publicity stunt carried out by the pro-Castro Army Of National Liberation , which kidnapped several honorary consuls , newsmen , and political leaders .","The distribution of a document questioning Colombia's oil policy is reportedly the aim of the publicity stunt carried out by the pro-Castro Army Of National Liberation, which kidnapped several honorary consuls, journalists and political leaders.",IE,RTE2_dev.column_s1_244,"The evidence for the continuing accretion of gas by the Milky Way involves high-velocity clouds , or HVCs-mysterious clumps of hydrogen , moving rapidly through the outer regions of the galaxy .","Evidence for the continuing accretion of gas by the Milky Way involves high-velocity clouds, or HVCs - Mysterious Clusters of Hydrogen, which move rapidly through the outer regions of the galaxy.",IE,RTE3_dev.column_s1_672,"Philip Morris the US food and tobacco group that makes Marlboro , the world 's best-selling cigarette , shrugged off strong anti-smoking sentiment in the US .","Philip Morris, the US food and tobacco group which makes Marlboro, the best-selling cigarette on the globe, shrugged off strong anti-smoking sentiment in the US.",SUM
